date,평균기온,최저기온,최고기온,강수 계속시간,일강수량,최대 순간 풍속,최대 순간 풍속 풍향,최대 풍속,최대 풍속 풍향,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,합계 일조 시간,시간당 최다일사량,합계 일사,일 최심적설,합계 대형증발량,안개 계속시간,PM10,PM2.5,O3,NO2,CO,SO2,187750,45060,83550,45520,22100,종합대기상태,종합대기지수,주오염물질,china_PM25
2015-01-13,0.2,-5.1,5.8,,,5.1,50.0,3.4,70.0,1.8,1551.0,-12.6,22.0,39.6,2.3,1023.3,5.8,1.66,8.14,,,,51.0,25.0,0.004,0.044000000000000004,1.0,0.009000000000000001,0.01635514,-0.00908059,0.00255102,-0.003726708,0.007476636,보통,73.0,이산화질소,114.5
2015-01-14,2.5,-0.3,6.1,,,5.0,250.0,3.4,250.0,1.5,1275.0,-9.5,29.0,41.1,3.0,1016.1,0.3,0.76,3.36,,,,72.0,36.0,0.003,0.048,1.2,0.01,-0.016393443,0.001145475,0.00131406,0.0,0.011009173999999998,보통,85.0,초미세먼지(PM2.5),139.6
2015-01-15,2.8,-1.1,9.0,,,7.3,250.0,4.7,270.0,2.1,1809.0,-6.1,33.0,53.6,4.0,1011.7,7.2,1.62,8.47,,,,61.0,29.0,0.006,0.043,0.9,0.009000000000000001,0.009389671,0.015169195,-0.002659574,0.0,-0.009174311999999999,보통,71.0,이산화질소,186.3
2015-01-16,0.8,-2.5,3.4,1.72,0.3,11.4,270.0,7.4,270.0,4.0,3454.0,-3.5,55.0,73.0,4.8,1009.5,1.3,1.01,2.79,,,,83.0,38.0,0.013999999999999999,0.027000000000000003,0.9,0.009000000000000001,0.0,0.0,0.0,-0.001246883,-0.0037593979999999997,보통,87.0,초미세먼지(PM2.5),276.3
2015-01-17,-4.1,-7.7,0.0,,,12.2,270.0,7.7,270.0,3.8,3264.0,-14.3,28.0,46.0,2.0,1017.8,9.3,1.85,10.89,,,,34.0,14.0,0.021,0.017,0.4,0.006999999999999999,,,,,,좋음,45.0,미세먼지(PM10),321.8
2015-01-18,-1.3,-6.5,2.1,8.5,4.0,7.3,200.0,4.9,180.0,2.3,1993.0,-6.9,41.0,68.4,4.0,1011.5,1.5,1.32,5.06,5.1,,,35.0,14.0,0.006999999999999999,0.031,0.7,0.006999999999999999,,,,,,보통,51.0,이산화질소,48.4
2015-01-19,-0.1,-4.0,3.1,0.57,0.1,9.9,250.0,5.9,250.0,3.2,2773.0,-5.4,51.0,68.1,4.2,1012.2,7.4,1.57,7.52,4.6,,,63.0,29.0,0.019,0.021,0.8,0.008,0.017021276999999998,0.002317497,0.008032129,0.00125,0.014981273,보통,70.0,미세먼지(PM10),127.2
2015-01-20,-0.9,-6.4,4.4,,,6.3,50.0,3.9,50.0,1.9,1653.0,-9.0,33.0,55.8,3.1,1016.8,8.7,1.59,9.79,0.5,,,47.0,22.0,0.006,0.035,0.8,0.006999999999999999,0.016260163,0.007058824,0.006587615,0.009744214000000001,0.0018587360000000002,보통,58.0,미세먼지(PM10),54.6
2015-01-21,2.6,-1.2,6.5,,,5.6,70.0,3.7,70.0,2.0,1705.0,-4.9,42.0,58.3,4.3,1011.4,1.5,1.29,5.67,,,,57.0,27.0,0.004,0.040999999999999995,1.1,0.008,0.0,-0.0034562209999999998,0.006385696,-0.004854369,0.009363296,보통,68.0,이산화질소,94.7
2015-01-22,3.1,0.8,7.1,,,4.7,50.0,3.1,70.0,1.5,1267.0,-3.9,47.0,60.6,4.6,1008.6,1.6,0.88,5.51,,,,40.0,20.0,0.01,0.034,1.0,0.008,0.0,0.00456621,0.012820513,0.0,0.008833922,보통,56.0,이산화질소,104.8
2015-01-23,1.2,-1.6,4.9,,,7.6,270.0,5.2,230.0,2.6,2246.0,-4.3,46.0,66.4,4.5,1011.5,6.7,1.28,6.88,,,,39.0,19.0,0.008,0.034,0.9,0.008,0.007968127,0.002301496,0.079385403,0.0062034740000000005,0.016216216000000002,보통,56.0,이산화질소,89.7
2015-01-24,3.7,0.8,8.4,,,6.5,270.0,4.4,290.0,1.8,1597.0,-2.8,46.0,62.9,5.0,1015.2,7.2,1.5,8.35,,,,51.0,24.0,0.011000000000000001,0.035,0.9,0.009000000000000001,,,,,,보통,61.0,미세먼지(PM10),156.3
2015-01-25,3.0,1.1,5.0,10.45,3.0,7.6,70.0,5.2,70.0,3.5,2990.0,-0.6,53.0,78.4,6.0,1013.1,0.0,0.43,2.08,,,,62.0,30.0,0.005,0.034,0.9,0.006999999999999999,,,,,,보통,72.0,초미세먼지(PM2.5),221.3
2015-01-26,3.6,0.2,6.5,6.33,0.5,8.3,270.0,6.1,270.0,2.6,2230.0,1.6,64.0,87.5,7.0,1009.4,1.1,0.48,3.06,,,2.25,38.0,22.0,0.016,0.027999999999999997,0.6,0.006,0.0,0.003436426,0.01653944,0.00241838,0.003514938,보통,56.0,초미세먼지(PM2.5),129.9
2015-01-27,-3.6,-7.4,0.5,,,9.3,270.0,6.2,270.0,3.7,3187.0,-11.5,35.0,55.4,2.6,1014.3,9.4,1.93,11.85,,,,49.0,22.0,0.021,0.023,0.3,0.006999999999999999,-0.00390625,0.0,-0.0012771389999999998,0.001210654,0.012433393000000001,보통,59.0,미세먼지(PM10),187.0
2015-01-28,-4.1,-9.1,2.7,,,7.7,320.0,5.0,320.0,2.3,2019.0,-13.3,32.0,49.3,2.3,1018.4,8.9,1.76,10.98,,,,42.0,15.0,0.013999999999999999,0.035,0.5,0.006999999999999999,-0.001972387,-0.012208657,-0.005208333,0.0,0.001808318,보통,58.0,이산화질소,30.8
2015-01-29,-1.1,-4.6,3.0,,,7.5,290.0,5.0,270.0,2.3,1975.0,-8.7,46.0,56.4,3.2,1016.1,0.0,0.79,4.09,,,,48.0,22.0,0.004,0.049,0.9,0.006999999999999999,0.041420118,-0.0022296539999999998,0.006527415,0.0,0.0017793589999999999,보통,81.0,이산화질소,54.9
2015-01-30,-3.3,-7.0,0.8,,,11.6,290.0,7.1,320.0,3.8,3288.0,-12.1,31.0,51.8,2.5,1015.4,9.0,1.8,10.69,,,,39.0,17.0,0.02,0.027000000000000003,0.6,0.006999999999999999,0.015841584,-0.005524861999999999,0.023017903,-0.004830918,0.0,보통,51.0,미세먼지(PM10),103.6
2015-01-31,-4.5,-8.5,0.8,,,6.3,270.0,4.5,270.0,2.6,2210.0,-14.5,31.0,46.4,2.0,1021.2,9.7,1.93,12.07,,,,39.0,16.0,0.018000000000000002,0.03,0.5,0.008,,,,,,보통,51.0,미세먼지(PM10),30.4
2015-02-01,-3.0,-8.2,3.6,,,6.3,230.0,4.3,230.0,1.9,1599.0,-13.8,23.0,44.9,2.1,1022.2,9.7,1.98,12.34,,,,28.0,13.0,0.013999999999999999,0.037000000000000005,0.6,0.006,,,,,,보통,61.0,이산화질소,46.6
2015-02-02,-0.6,-5.3,6.4,,,5.7,320.0,3.7,270.0,1.5,1290.0,-11.0,24.0,47.3,2.7,1020.9,7.6,1.79,10.21,,,,43.0,20.0,0.004,0.06,1.0,0.006999999999999999,0.0,-0.006578947,0.005050505,0.003631961,-0.005454545,보통,100.0,이산화질소,99.2
2015-02-03,0.6,-3.5,7.2,,,6.3,290.0,4.3,270.0,2.1,1772.0,-8.1,27.0,54.5,3.4,1018.0,9.1,1.68,10.3,,,,58.0,30.0,0.003,0.065,1.0,0.009000000000000001,0.010344828,-0.002212389,0.009950249,0.001191895,0.005385996,나쁨,105.0,이산화질소,137.5
2015-02-04,0.4,-3.1,5.8,,,8.5,320.0,5.1,340.0,2.0,1770.0,-6.2,25.0,64.5,3.9,1012.1,7.9,1.63,9.31,,,,78.0,42.0,0.011000000000000001,0.061,1.3,0.01,0.13354037300000002,0.006622517,0.0025031289999999998,0.001212121,0.01584507,나쁨,101.0,이산화질소,168.1
2015-02-05,-0.1,-3.8,4.8,,,8.2,250.0,5.7,250.0,3.0,2550.0,-7.7,38.0,57.1,3.4,1012.7,9.0,1.68,10.43,,,,90.0,47.0,0.025,0.039,1.0,0.012,0.026536313,0.006535948000000001,0.006112469000000001,0.013048636,0.005199307,나쁨,109.0,초미세먼지(PM2.5),74.3
2015-02-06,0.4,-4.3,6.5,,,8.7,200.0,4.9,230.0,2.2,1930.0,-7.3,33.0,57.3,3.6,1014.9,9.5,1.86,11.5,,,,51.0,24.0,0.013999999999999999,0.046,0.8,0.009000000000000001,0.0,0.001101322,-0.003680982,0.0,0.00862069,보통,76.0,이산화질소,30.7
2015-02-07,1.2,-2.7,5.7,,,10.5,270.0,7.0,270.0,2.6,2275.0,-4.7,42.0,65.3,4.4,1010.4,4.1,1.15,6.2,,,,43.0,21.0,0.013999999999999999,0.046,0.9,0.009000000000000001,,,,,,보통,76.0,이산화질소,70.0
2015-02-08,-9.8,-11.9,-2.8,,,14.5,270.0,8.0,290.0,5.3,4620.0,-22.8,23.0,34.1,1.0,1016.0,9.7,2.01,12.92,,,,104.0,15.0,0.027999999999999997,0.013000000000000001,0.4,0.005,,,,,,나쁨,105.0,미세먼지(PM10),88.2
2015-02-09,-5.7,-13.0,-0.1,3.83,0.2,12.2,200.0,7.6,250.0,3.1,2671.0,-13.9,25.0,54.6,2.5,1015.9,7.3,1.79,10.34,0.3,,,40.0,15.0,0.013999999999999999,0.031,0.7,0.006999999999999999,-0.005952381,0.008547009,0.009888751999999999,0.0,0.003502627,보통,52.0,미세먼지(PM10),18.2
2015-02-10,1.7,-2.0,5.8,,,11.9,250.0,6.3,270.0,2.8,2379.0,-3.5,51.0,69.0,4.7,1006.8,5.0,0.9,5.88,0.2,,,99.0,44.0,0.006999999999999999,0.05,1.1,0.013999999999999999,0.023255814,0.0,0.0049443759999999995,0.004494382,0.001757469,보통,100.0,초미세먼지(PM2.5),78.4
2015-02-11,2.7,-0.8,8.0,,,7.3,250.0,5.0,250.0,2.5,2185.0,-5.5,21.0,60.3,4.3,1002.6,8.0,1.87,11.1,,,,92.0,43.0,0.013000000000000001,0.049,1.1,0.011000000000000001,0.0,0.020474138,0.002518892,0.001129944,0.005136986,보통,97.0,초미세먼지(PM2.5),142.6
2015-02-12,-2.2,-4.7,1.6,,,13.4,290.0,8.1,290.0,4.2,3620.0,-15.5,17.0,36.8,1.9,1004.1,9.7,2.11,13.4,,,,34.0,11.0,0.027999999999999997,0.022000000000000002,0.5,0.006999999999999999,0.019283747,0.008465608000000001,-0.007518797,-0.004519774,0.0,좋음,47.0,오존,106.1
2015-02-13,-1.6,-6.4,4.0,,,11.1,270.0,6.6,290.0,3.1,2713.0,-12.1,24.0,46.4,2.5,1009.2,9.8,2.09,13.33,,,,31.0,13.0,0.021,0.031,0.6,0.006999999999999999,-0.00143472,-0.005347594000000001,-0.009126467,0.012956418999999999,0.018835616,보통,51.0,이산화질소,40.4
2015-02-14,2.0,-3.1,6.6,,,8.6,250.0,5.2,230.0,2.2,1859.0,-2.5,58.0,72.9,5.3,1010.4,0.3,0.59,3.13,,,,60.0,29.0,0.009000000000000001,0.055,1.1,0.009000000000000001,,,,,,보통,92.0,이산화질소,100.8
2015-02-15,7.9,3.2,13.0,,,8.3,50.0,5.1,70.0,2.9,2543.0,0.4,38.0,61.6,6.3,1009.6,7.3,1.79,10.41,,,,80.0,36.0,0.015,0.048,0.9,0.01,,,,,,보통,85.0,초미세먼지(PM2.5),180.2
2015-02-16,5.0,4.1,7.9,23.5,10.5,8.1,70.0,5.8,70.0,3.5,3008.0,3.7,54.0,91.9,8.0,1003.8,0.0,0.25,1.41,,,,45.0,21.0,0.005,0.047,0.9,0.006,-0.034770515,0.001075269,0.005167959000000001,0.0,0.003395586,보통,78.0,이산화질소,258.8
2015-02-17,1.9,0.5,4.1,4.58,0.5,9.5,290.0,5.4,290.0,3.5,2992.0,-1.5,59.0,78.5,5.5,1005.8,2.4,0.89,4.86,,,,65.0,31.0,0.026000000000000002,0.026000000000000002,0.8,0.006999999999999999,0.08142857099999999,0.00106383,0.0,0.0,-0.0034188029999999998,보통,74.0,초미세먼지(PM2.5),200.3
2015-02-18,0.8,-1.5,3.3,0.75,0.0,6.6,320.0,4.2,270.0,2.5,2194.0,-3.7,59.0,72.0,4.6,1010.7,1.6,1.44,5.48,,,,61.0,37.0,0.03,0.021,0.8,0.008,,,,,,보통,87.0,초미세먼지(PM2.5),31.6
2015-02-19,2.2,-2.7,8.6,,,6.8,290.0,5.0,290.0,1.6,1366.0,-3.7,35.0,67.1,4.7,1016.1,8.9,2.09,11.93,,,,63.0,36.0,0.016,0.037000000000000005,0.9,0.006999999999999999,,,,,,보통,85.0,초미세먼지(PM2.5),57.2
2015-02-20,5.2,-1.3,11.4,,,5.6,70.0,3.3,50.0,2.0,1749.0,-3.7,31.0,55.3,4.6,1015.4,7.2,1.66,11.33,,,,50.0,28.0,0.013999999999999999,0.043,0.8,0.006999999999999999,,,,,,보통,71.0,이산화질소,354.6
2015-02-21,5.7,4.8,6.7,16.25,8.0,8.5,70.0,5.6,70.0,3.4,2945.0,1.8,47.0,79.0,7.2,1007.3,0.0,0.48,2.74,,,,24.0,13.0,0.006999999999999999,0.045,0.6,0.006,,,,,,보통,75.0,이산화질소,128.3
2015-02-22,3.5,-0.7,7.0,7.08,2.5,12.6,230.0,7.3,250.0,4.1,3549.0,-0.3,52.0,78.0,6.3,1006.2,4.4,1.46,7.29,,,6.42,245.0,25.0,0.019,0.026000000000000002,0.5,0.006,,,,,,매우 나쁨,276.0,미세먼지(PM10),197.9
2015-02-23,0.9,-2.4,5.9,,,8.0,290.0,5.1,250.0,3.0,2551.0,-6.1,34.0,60.4,3.9,1009.7,8.0,2.01,12.64,,,,566.0,55.0,0.021,0.024,0.6,0.005,0.0,0.12407211,0.060453401,0.112280702,0.0017035779999999999,매우 나쁨,468.0,미세먼지(PM10),154.2
2015-02-24,2.1,-1.1,7.5,,,6.7,270.0,4.3,250.0,2.3,1996.0,-5.3,35.0,60.0,4.1,1008.6,9.3,2.29,13.75,,,,104.0,20.0,0.02,0.032,0.7,0.006,0.016717325,0.010526316,0.003764115,0.010452962,0.00681431,나쁨,105.0,미세먼지(PM10),36.5
2015-02-25,5.4,0.2,12.5,2.17,0.5,10.4,250.0,6.2,230.0,2.9,2517.0,-6.0,22.0,48.6,4.1,1007.7,5.8,2.08,11.32,,,,86.0,23.0,0.005,0.049,1.0,0.006999999999999999,0.0,0.0065075919999999995,0.014851485,0.004716980999999999,0.008517888000000001,보통,89.0,미세먼지(PM10),140.6
2015-02-26,1.2,-3.5,4.7,0.92,0.5,13.2,270.0,8.5,270.0,4.9,4240.0,-7.1,30.0,56.9,4.0,1008.9,9.1,2.19,12.37,,,,18.0,8.0,0.03,0.018000000000000002,0.2,0.004,0.023696682,-0.007981756,-0.008674102,-0.004739335999999999,0.0017123289999999998,좋음,50.0,오존,181.8
2015-02-27,-1.3,-5.6,4.8,,,10.6,290.0,6.8,290.0,3.2,2746.0,-14.8,22.0,35.6,2.0,1017.0,9.3,2.37,15.22,,,,31.0,17.0,0.026000000000000002,0.025,0.4,0.005,0.041602465,0.009070295,0.001242236,-0.002361275,0.010398614,좋음,47.0,초미세먼지(PM2.5),27.3
2015-02-28,2.7,-2.0,6.4,,,6.4,90.0,3.9,70.0,2.0,1738.0,-9.6,29.0,40.5,3.0,1015.8,0.0,0.98,5.9,,,,47.0,26.0,0.006999999999999999,0.054000000000000006,0.6,0.005,,,,,,보통,90.0,이산화질소,25.3
2015-03-01,2.4,-0.2,5.9,2.82,0.0,12.0,230.0,7.1,250.0,3.7,3232.0,-5.4,41.0,56.8,4.1,1009.0,5.5,1.62,9.47,,,,105.0,38.0,0.025,0.027999999999999997,0.3,0.005,,,,,,나쁨,107.0,미세먼지(PM10),128.0
2015-03-02,3.9,-1.9,9.7,,,9.0,230.0,6.1,230.0,2.8,2434.0,-8.1,23.0,43.5,3.3,1008.5,10.3,2.32,15.5,,,,94.0,32.0,0.018000000000000002,0.044000000000000004,0.5,0.006,0.039393938999999996,0.004484305,0.0,0.009174311999999999,0.006849315,보통,95.0,미세먼지(PM10),168.1
2015-03-03,2.8,-1.3,6.7,9.33,5.5,12.2,270.0,7.4,290.0,3.4,2898.0,-3.0,24.0,69.5,5.2,1002.4,0.0,1.11,4.6,,,,54.0,28.0,0.019,0.040999999999999995,0.5,0.006,0.037707391,0.012114537,-0.004750594,0.008018328,0.0032679740000000003,보통,68.0,이산화질소,89.7
2015-03-04,-2.1,-4.6,1.4,,,15.3,250.0,9.1,270.0,5.3,4576.0,-13.1,29.0,43.4,2.3,1010.9,10.8,2.55,16.79,,,,43.0,19.0,0.034,0.013999999999999999,0.4,0.004,0.0,-0.013043478,0.0,-0.00547046,0.004901961,보통,54.0,미세먼지(PM10),23.6
2015-03-05,-0.3,-5.4,5.5,,,6.5,340.0,4.0,340.0,1.9,1624.0,-12.7,20.0,41.1,2.3,1016.0,8.6,2.0,12.96,,,,42.0,28.0,0.021,0.032,0.5,0.005,-0.021705426,-0.007717751,0.008928571,-0.001074114,0.004918033,보통,66.0,초미세먼지(PM2.5),29.4
2015-03-06,2.9,-3.2,10.4,,,8.0,270.0,4.4,250.0,2.3,2020.0,-10.8,15.0,37.8,2.7,1013.4,10.9,2.34,16.17,,,,43.0,27.0,0.01,0.047,0.6,0.006,0.018348623999999997,-0.002247191,0.0,-0.003239741,0.003246753,보통,78.0,이산화질소,88.7
2015-03-07,4.2,-2.3,11.0,,,8.3,250.0,5.3,270.0,2.3,1950.0,-7.6,21.0,45.5,3.5,1013.3,10.6,2.36,16.0,,,,45.0,27.0,0.022000000000000002,0.04,0.6,0.005,,,,,,보통,66.0,초미세먼지(PM2.5),184.7
2015-03-08,7.7,0.4,15.1,,,6.6,290.0,4.4,290.0,1.8,1594.0,-5.3,20.0,42.5,4.1,1012.0,8.2,2.18,13.63,,,,86.0,52.0,0.024,0.045,0.7,0.008,,,,,,나쁨,124.0,초미세먼지(PM2.5),218.9
2015-03-09,2.2,-5.4,8.2,,,15.3,270.0,9.1,270.0,5.4,4686.0,-9.2,21.0,43.4,3.4,1010.0,9.4,2.5,15.27,,,,71.0,37.0,0.035,0.022000000000000002,0.4,0.006,-0.012232416000000001,-0.009966777,0.002347418,-0.02173913,-0.003273322,보통,87.0,초미세먼지(PM2.5),218.3
2015-03-10,-3.4,-6.9,1.0,,,15.1,250.0,9.1,290.0,5.9,5067.0,-18.5,19.0,30.6,1.4,1013.9,11.0,2.62,18.52,,,,33.0,13.0,0.032,0.011000000000000001,0.4,0.003,0.0,0.003389831,0.009389671,0.0010764260000000001,0.006644518,보통,52.0,오존,31.7
2015-03-11,0.4,-5.1,7.5,,,16.3,250.0,8.7,250.0,4.5,3905.0,-10.3,24.0,45.1,2.9,1009.3,10.0,2.05,12.06,,,,44.0,17.0,0.032,0.023,0.3,0.005,-0.004680187,-0.005727377,-0.023809524,-0.007583965,-0.006589785999999999,보통,55.0,미세먼지(PM10),42.2
2015-03-12,2.1,-3.5,6.7,,,12.3,270.0,7.3,250.0,4.0,3462.0,-10.1,23.0,41.0,2.9,1008.9,11.1,2.49,17.66,,,,32.0,17.0,0.026000000000000002,0.028999999999999998,0.3,0.005,-0.008025682,0.001156069,0.009456265,0.013114754,0.0,좋음,48.0,이산화질소,65.5
2015-03-13,5.6,1.8,11.0,2.92,0.1,10.8,290.0,6.3,290.0,3.0,2562.0,-7.3,15.0,45.4,3.9,1008.7,11.0,2.55,18.08,,,,43.0,24.0,0.03,0.027999999999999997,0.3,0.006,0.001515152,0.009090909,0.002298851,0.006423983,0.004983389,보통,59.0,초미세먼지(PM2.5),71.0
2015-03-14,4.3,-1.2,11.6,,,10.0,270.0,6.6,270.0,2.3,1989.0,-11.7,17.0,31.4,2.5,1012.9,9.8,2.49,16.81,,,,36.0,22.0,0.024,0.036000000000000004,0.3,0.006,,,,,,보통,59.0,이산화질소,86.8
2015-03-15,5.5,0.0,12.5,,,8.0,250.0,5.4,250.0,2.2,1883.0,-7.4,15.0,42.0,3.6,1012.0,10.1,2.18,15.39,,,,40.0,28.0,0.017,0.051,0.5,0.008,,,,,,보통,85.0,이산화질소,89.1
2015-03-16,9.8,1.3,18.6,,,6.0,270.0,4.1,270.0,2.0,1718.0,-3.2,19.0,44.4,4.9,1010.1,10.0,2.37,16.19,,,,92.0,47.0,0.012,0.067,0.7,0.008,0.0,0.007847534,0.010238908,0.009574468000000001,-0.047775947,나쁨,159.0,초미세먼지(PM2.5),122.3
2015-03-17,10.7,6.9,16.1,0.75,0.0,7.0,290.0,4.6,320.0,1.8,1574.0,0.9,30.0,51.9,6.6,1007.3,0.3,1.02,5.91,,,,130.0,69.0,0.006999999999999999,0.08800000000000001,1.1,0.011000000000000001,0.041795666,0.0,0.00814901,0.0,0.005347594000000001,나쁨,249.0,초미세먼지(PM2.5),211.2
2015-03-18,10.7,8.4,14.4,5.17,1.5,10.0,90.0,6.7,70.0,4.0,3415.0,3.3,42.0,61.5,7.8,1001.5,0.0,0.92,4.62,,,,79.0,41.0,0.013000000000000001,0.053,0.7,0.006,0.034161491,-0.002254791,-0.004571429,0.010416667,0.0,보통,95.0,초미세먼지(PM2.5),260.2
2015-03-19,12.4,6.5,21.0,,,9.1,270.0,7.1,270.0,2.5,2137.0,1.9,26.0,50.9,7.1,1003.5,10.6,2.36,16.82,,,,55.0,29.0,0.02,0.047,0.5,0.006,-0.00466563,0.001141553,0.004728132,0.012145748999999999,0.007130125,보통,78.0,이산화질소,91.2
2015-03-20,13.4,7.6,21.9,,,8.4,250.0,6.1,270.0,2.5,2173.0,-5.3,10.0,32.5,4.4,1007.0,8.4,2.42,15.98,,,,102.0,42.0,0.017,0.066,0.8,0.008,0.00152207,0.0,0.0,0.004102564,0.001792115,나쁨,156.0,이산화질소,95.8
2015-03-21,11.7,6.9,17.8,,,9.0,250.0,6.5,230.0,2.7,2346.0,-5.1,19.0,31.0,4.2,1005.5,8.3,2.16,14.97,,,,172.0,67.0,0.031,0.057,0.8,0.012,,,,,,나쁨,274.0,미세먼지(PM10),95.6
2015-03-22,8.3,2.2,14.9,,,13.5,340.0,8.1,290.0,4.2,3597.0,-9.2,9.0,33.3,3.4,1009.8,11.1,2.58,18.36,,,,144.0,53.0,0.028999999999999998,0.033,0.6,0.008,,,,,,나쁨,224.0,미세먼지(PM10),59.4
2015-03-23,4.6,0.0,10.1,,,16.0,250.0,8.5,270.0,4.2,3604.0,-14.4,13.0,24.3,2.1,1015.1,11.5,2.66,19.17,,,,57.0,23.0,0.035,0.018000000000000002,0.3,0.005,0.0,0.004484305,-0.0034324940000000003,0.023302938,0.007366483,보통,66.0,미세먼지(PM10),38.7
2015-03-24,5.4,-0.9,12.4,,,8.9,230.0,5.7,250.0,2.6,2276.0,-11.2,11.0,32.8,2.8,1020.2,11.6,2.69,19.59,,,,42.0,23.0,0.022000000000000002,0.039,0.4,0.005,0.0,0.0,0.0034482759999999997,0.003027245,0.005514705999999999,보통,65.0,이산화질소,51.4
2015-03-25,6.5,0.1,14.2,,,8.4,230.0,5.6,270.0,2.5,2194.0,-5.7,17.0,45.9,4.1,1023.8,11.5,2.62,18.79,,,,41.0,24.0,0.018000000000000002,0.047,0.4,0.006,0.0013106160000000001,-0.002232143,0.020879121,-0.008138352,-0.0018181820000000002,보통,78.0,이산화질소,70.7
2015-03-26,7.9,1.6,14.8,,,10.4,270.0,7.2,270.0,3.1,2637.0,-3.4,24.0,47.5,4.8,1022.6,11.6,2.55,19.14,,,,42.0,24.0,0.02,0.052000000000000005,0.5,0.008,0.0,-0.0022222220000000003,-0.011111111000000002,-0.018711019,0.005385996,보통,86.0,이산화질소,121.9
