"품목별","항목","단위","2000. 01 월","2000. 02 월","2000. 03 월","2000. 04 월","2000. 05 월","2000. 06 월","2000. 07 월","2000. 08 월","2000. 09 월","2000. 10 월","2000. 11 월","2000. 12 월","2001. 01 월","2001. 02 월","2001. 03 월","2001. 04 월","2001. 05 월","2001. 06 월","2001. 07 월","2001. 08 월","2001. 09 월","2001. 10 월","2001. 11 월","2001. 12 월","2002. 01 월","2002. 02 월","2002. 03 월","2002. 04 월","2002. 05 월","2002. 06 월","2002. 07 월","2002. 08 월","2002. 09 월","2002. 10 월","2002. 11 월","2002. 12 월","2003. 01 월","2003. 02 월","2003. 03 월","2003. 04 월","2003. 05 월","2003. 06 월","2003. 07 월","2003. 08 월","2003. 09 월","2003. 10 월","2003. 11 월","2003. 12 월","2004. 01 월","2004. 02 월","2004. 03 월","2004. 04 월","2004. 05 월","2004. 06 월","2004. 07 월","2004. 08 월","2004. 09 월","2004. 10 월","2004. 11 월","2004. 12 월","2005. 01 월","2005. 02 월","2005. 03 월","2005. 04 월","2005. 05 월","2005. 06 월","2005. 07 월","2005. 08 월","2005. 09 월","2005. 10 월","2005. 11 월","2005. 12 월","2006. 01 월","2006. 02 월","2006. 03 월","2006. 04 월","2006. 05 월","2006. 06 월","2006. 07 월","2006. 08 월","2006. 09 월","2006. 10 월","2006. 11 월","2006. 12 월","2007. 01 월","2007. 02 월","2007. 03 월","2007. 04 월","2007. 05 월","2007. 06 월","2007. 07 월","2007. 08 월","2007. 09 월","2007. 10 월","2007. 11 월","2007. 12 월","2008. 01 월","2008. 02 월","2008. 03 월","2008. 04 월","2008. 05 월","2008. 06 월","2008. 07 월","2008. 08 월","2008. 09 월","2008. 10 월","2008. 11 월","2008. 12 월","2009. 01 월","2009. 02 월","2009. 03 월","2009. 04 월","2009. 05 월","2009. 06 월","2009. 07 월","2009. 08 월","2009. 09 월","2009. 10 월","2009. 11 월","2009. 12 월","2010. 01 월","2010. 02 월","2010. 03 월","2010. 04 월","2010. 05 월","2010. 06 월","2010. 07 월","2010. 08 월","2010. 09 월","2010. 10 월","2010. 11 월","2010. 12 월","2011. 01 월","2011. 02 월","2011. 03 월","2011. 04 월","2011. 05 월","2011. 06 월","2011. 07 월","2011. 08 월","2011. 09 월","2011. 10 월","2011. 11 월","2011. 12 월","2012. 01 월","2012. 02 월","2012. 03 월","2012. 04 월","2012. 05 월","2012. 06 월","2012. 07 월","2012. 08 월","2012. 09 월","2012. 10 월","2012. 11 월","2012. 12 월","2013. 01 월","2013. 02 월","2013. 03 월","2013. 04 월","2013. 05 월","2013. 06 월","2013. 07 월","2013. 08 월","2013. 09 월","2013. 10 월","2013. 11 월","2013. 12 월","2014. 01 월","2014. 02 월","2014. 03 월","2014. 04 월","2014. 05 월","2014. 06 월","2014. 07 월","2014. 08 월","2014. 09 월","2014. 10 월","2014. 11 월","2014. 12 월","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월",
"재료별 제조제품","수입액","천달러","1473877","1359469","1655639","1529391","1531220","1580121","1598944","1561284","1501625","1596727","1542394","1360198","1315069","1276451","1424829","1352296","1389962","1397830","1411295","1452214","1378564","1427727","1459136","1398466","1417102","1277675","1505917","1610311","1684432","1592291","1702755","1741629","1664903","1706676","1720864","1616947","1737709","1608694","1843031","1830426","1876449","1865283","1977434","1829142","1817514","2088770","1891158","2003974","2182497","2095747","2520778","2647131","2561532","2670849","2679479","2486629","2410721","2716220","2802233","3051406","2900665","2644532","3357973","3184545","3279962","3288387","2955894","2770964","2839821","2769440","2933410","2923815","2779877","2923928","3390390","3130121","3615579","3817014","3530806","3832967","4012435","3691749","3864074","3724953","4026939","3587773","4174298","4497447","4532653","4457005","4365279","4364927","3802575","4761285","4648680","4714238","5078541","4624384","5437730","5782811","5899674","5642047","6631653","6186615","6394305","5334226","4254996","3716516","3303167","2819840","3419581","3220837","3017557","3478340","3664397","3538090","4168554","3991024","4126691","4502297","3975470","3891671","4715058","4889073","4847303","4989618","4968772","4520880","4510664","4794920","4926834","5112364","5093063","4536711","6039483","5997888","5989166","5877586","5527059","5336868","5190910","4986551","4974744","4681116","4746163","4646976","5075522","5009676","5094500","4877709","4728343","4512736","4566501","4608835","4720690","4240123","4767994","4074441","4859095","4898901","4727717","4334374","4733727","4453009","4315415","4640354","4758879","4577437","4812290","4215208","4859191","5273503","4838294","4908056","5243030","4645607","5046198","4925686","4611094","4653563","4787534","3974640","4467056","4612880","4055829","4330803","4535562","3877791","3887440","4095796","3793030","3933440","3714858","3297400","3873988","3829265","3972831","4164151","3983081","4167237","4078915","3885280","4311873","4152204","4067046","3964334","4920765","4305881","4445286","4377864","4019679","4173640","4244020","3759662","4309950","4194532","4396707","3873415","4412927","4443151","4584400","4407075","4285417","4320350","3963299","4671832","4465411","4133135","4787695","3463773",
"가죽, 달리명시되지 않은 가죽제품 및 손질모피","수출액","천달러","80276","89256","118873","125059","130846","134415","125787","115012","118524","122693","110129","98482","78363","101229","131951","125433","140117","135299","112922","88063","93705","85688","87143","74027","60456","68344","98939","110178","122005","112219","118851","99375","85860","95822","81813","74888","65140","69265","87120","104229","104246","96817","93260","81809","78910","96274","82996","78572","54422","74237","86592","104196","105973","98514","103088","71657","81840","83163","75822","72028","56463","49103","78435","85528","89687","85054","82359","65477","67935","70363","69480","68493","50182","59971","80002","76632","80046","80573","73589","67654","73376","62033","71709","69784","58395","48627","80820","85407","83593","84200","77453","68770","62043","76697","74603","62787","55227","54094","71859","82363","83266","74664","82429","63874","70335","91256","68567","59759","36952","46401","58188","64636","52206","54934","67544","52013","62349","64302","60756","69266","50209","48448","69885","79571","76367","75765","79566","59081","60592","82190","67134","70889","55848","49216","78626","83443","70483","76025","83182","68416","74354","79889","76804","79362","52893","72187","81649","87442","79709","78647","81140","77810","76806","82491","92697","79990","70458","57661","84008","93659","96114","85068","93244","79825","74342","103469","103422","83437","85702","81920","94116","100445","86756","83763","91293","71798","76344","93337","78148","77108","76198","54988","85627","100618","75786","92664","97935","66728","71299","82758","67752","67292","55656","49292","67334","75226","55700","61518","69192","54468","51388","63598","61277","60478","42723","47463","60622","64309","50416","60894","58575","40138","61418","40868","48087","49394","45932","30052","54809","52458","45469","56092","55654","46831","47775","54819","50693","46157","44441","40514",
"가죽, 달리명시되지 않은 가죽제품 및 손질모피","수입액","천달러","28517","30927","43782","45260","48902","55876","59440","60785","45733","52211","48358","42646","38167","37517","50287","54216","65735","64370","70670","53610","43014","44289","42377","39561","31176","31342","42135","52124","56257","59951","77497","62243","47764","59568","52174","42712","32417","34643","41574","49346","45888","50823","57966","43058","40590","47180","44512","42509","28637","31839","42998","45971","48917","55503","62483","48424","41658","50706","45881","36743","33033","23277","36764","41284","44862","44869","50654","45506","40646","44056","44830","38869","31303","30394","38328","41773","48371","51615","55397","57075","47530","44906","46590","43625","43082","34135","46942","45783","51642","53082","63839","52879","40444","46983","43858","36875","37804","30863","34604","38803","40559","40131","50717","36978","38050","33426","28451","32252","18773","20583","22123","24124","25276","33976","39593","35975","34335","32882","35510","35539","28982","24313","33024","41605","49468","45361","49580","54027","37092","45303","50439","45020","38167","30672","46564","55286","61841","61417","64307","69767","58390","55229","47474","45933","40164","40835","42611","45729","54458","49819","64773","46932","46449","49881","55407","48768","46206","40356","45098","56814","63324","63420","63652","59603","56844","71152","63186","67576","52630","55670","61090","65172","61085","70211","73085","56429","59795","56153","51925","50192","46445","41966","43547","46654","45100","55904","54802","53360","43809","53873","43661","40552","37645","36279","42270","42284","38659","42337","49281","48832","42464","36515","40985","34338","29889","27023","31386","30465","37404","36659","42462","39578","40434","35273","33090","33351","31548","27475","32153","36912","36246","35134","44421","38221","33392","42327","36080","33724","29741","22717",
"달리 명시되지 않은 고무제품","수출액","천달러","127890","128926","163609","143325","138225","134044","137814","126303","120252","134004","136511","138616","129406","135838","143284","134812","143213","148693","130479","119140","136527","119617","135641","142562","139198","121298","148515","145337","154259","139040","160987","144377","138739","149830","137875","157907","162745","151290","170362","166732","169220","146920","188131","143084","153889","170548","157386","184871","174643","182183","205634","205676","193715","182910","210906","183550","195552","213840","212439","236083","236964","206425","258329","239121","238317","252128","230387","226291","220660","229638","230550","238738","223620","240766","254236","239256","249207","256974","257987","238680","262398","230385","251663","266078","270632","223431","292403","274081","278084","293097","280092","275422","223776","282988","291985","294476","308089","273000","314018","321653","314346","301199","334016","303849","304546","277127","241538","243509","224847","222759","251300","248822","242309","279266","294341","248001","287209","270774","299945","318965","330353","282267","341730","317717","331589","358295","361026","331615","332554","369720","376497","382492","400668","346178","421933","417634","431223","458174","450243","433357","412728","438503","472622","453999","442704","477186","516304","497102","505098","476004","481970","440729","443086","446397","431777","414725","488873","385828","479485","492583","474204","448809","475496","411164","390470","445130","417329","429837","445039","416904","452167","505316","452769","445819","493929","402975","411197","440509","378713","432248","417862","352587","423957","426741","386849","419372","407274","337133","328800","363204","347994","383382","373598","338379","426561","389836","405096","418072","403501","399481","396469","385314","398901","379231","362871","402771","411818","406834","418971","413280","428060","407773","423629","338692","374420","375605","438442","346656","409958","441599","428036","408473","430793","368301","359416","411110","390168","385074","438628","342599",
"달리 명시되지 않은 고무제품","수입액","천달러","18828","18601","25600","22882","26758","29678","30836","33393","31724","30763","29463","29273","22451","26658","26645","27448","28353","28268","26239","26598","29320","27216","28392","23074","25548","22325","31530","38197","37636","38381","42549","39119","38007","38191","34299","34064","30087","31667","40010","39800","35559","38041","32007","34751","39895","47343","41471","44142","35713","40710","47948","45646","41886","49069","52047","49686","47113","53311","53800","51140","43540","44099","54591","51328","50328","54876","52521","54626","59707","58786","60993","58261","51587","58620","67634","60440","62474","64827","53220","58720","67179","62520","66570","63643","60589","56922","64691","68933","68372","66972","71805","72203","64495","79233","76189","111646","91850","63000","83307","85360","82536","80122","85153","78466","74639","77004","60689","57512","48144","47169","51168","58286","50968","61418","60470","54374","70612","65947","66307","73054","61956","58736","71964","79056","77539","89000","93296","86776","78376","81811","98227","94614","93645","86716","113021","113063","106425","119178","98005","100829","95258","98748","111246","103547","91439","90424","105128","97514","105249","93079","102960","94919","89360","105288","104879","95141","98828","76444","103224","108477","102312","97146","100279","99716","90976","108757","95650","103649","90601","95742","105327","115683","100763","96911","112606","96424","103558","106844","109999","99790","116074","83931","104193","109548","95899","105344","103742","99640","104687","103394","94744","99593","88647","86111","100601","93465","104333","103418","104346","116215","115844","106956","116273","110866","98224","99029","126069","108765","120755","132165","114046","136005","123843","115999","125497","110323","122643","105887","126794","124087","129087","125181","124459","128996","114911","143294","133519","121304","130173","108427",
"코르크 및 나무제품(가구 제외)","수출액","천달러","7610","7280","11446","10993","11771","10655","9526","9241","8908","8657","9068","6149","7680","9695","9911","9314","7750","6403","6152","5458","5172","4706","5057","4150","4649","3723","4305","6122","6561","6264","6656","5428","5009","5499","5491","4073","4656","4252","5156","8305","5571","6488","7753","6054","7982","7112","4623","4765","6001","6247","5576","6396","7184","9805","10639","7487","7776","5678","5799","7110","4876","3280","4795","4790","6884","7313","6481","6415","4928","5684","4251","3488","2637","4561","4047","3889","3691","3994","3797","3380","4235","3024","3287","3338","4147","3919","4049","2893","4956","4583","5447","3602","3712","4509","3863","2876","4244","2708","3592","4563","5600","3782","5400","3187","3443","4617","4122","4006","4006","3160","3099","3896","3844","5424","4540","4890","4427","3827","3618","4008","3404","3385","3546","4154","3953","3758","4565","3411","3352","3581","4117","3678","3609","3511","5480","5792","5408","6895","6663","5139","6012","4121","6089","5125","4094","5997","5444","5507","8177","7830","10542","9772","8105","7205","8956","6426","5523","7299","6433","7429","9296","7072","7707","7425","6658","5960","5726","6362","6807","7404","7744","7360","9317","8482","9208","5764","5716","5908","5798","6513","5080","4621","5463","6086","7703","6900","6662","4137","5661","5576","6906","5772","4701","4428","6539","5782","5037","5648","4543","5990","6016","5152","7045","5475","6728","5256","6634","6320","5982","5734","4498","4865","4581","4067","5375","4384","5305","4230","5361","5815","6895","5673","6489","5875","4294","5979","5636","4831","6974","4687",
"코르크 및 나무제품(가구 제외)","수입액","천달러","48939","41874","53082","50952","55833","50675","52419","52140","53122","54429","56718","47617","35970","36398","48205","47798","52072","55879","52980","66767","64097","66536","73982","66346","64442","59596","72681","76490","80163","74255","77771","75550","65194","80065","69593","69097","72135","68633","78805","71471","73039","65980","60216","58888","63712","73465","60964","64123","63946","60835","79222","76361","58277","67661","64198","63411","58564","66274","63111","61621","65776","56232","73106","64553","69159","76169","72939","68894","73412","68282","70709","73873","64569","66080","91132","72345","87382","100093","77659","86362","103990","80400","91340","85911","96320","93772","101843","94171","98873","96762","92833","85333","82396","93320","97159","105249","106277","97461","109964","102273","106622","100739","104665","102397","115963","84184","63516","67721","50791","44235","72195","59731","58885","98983","72778","69268","100215","71895","85199","94782","68680","63694","88889","81380","86779","100297","78685","80982","74434","69702","74624","84221","76920","58368","70417","73102","87192","114955","76591","80888","107757","86363","87527","102868","75735","70081","108103","83222","106687","97432","86728","87561","94505","73887","98458","88667","90680","77578","89143","103200","102436","97757","102354","93924","113371","111565","95588","90211","92725","85908","110657","118742","116907","126352","111529","101802","119874","103821","108717","114899","98017","91592","105631","115288","116920","120328","123583","107015","118769","111550","104752","104675","102632","98059","116577","114152","115875","124239","105305","114676","122413","99183","126369","125465","110896","102473","134383","117461","128768","133334","121907","121329","138023","103911","133098","132236","136522","116810","127552","132178","143173","147585","137845","142075","135055","144716","133120","117437","125432","103916",
"종이,판지 및 펄프, 종이 또는 판지제품","수출액","천달러","147395","152653","197246","188124","189591","165368","149026","149005","130355","149069","133819","134521","133921","141462","158610","144150","154283","142556","131885","131011","126769","121972","122816","114083","115706","112956","130774","134921","148262","137525","150914","145459","130673","140188","135125","130737","126683","136120","162843","154791","153250","152031","151825","135814","158937","164048","156982","163668","148581","164366","174456","181710","190506","189618","192721","175715","177538","184780","183422","187227","177215","161972","189789","183732","185421","185802","188383","176899","176954","170907","169911","177670","164386","173741","187733","174997","189759","198161","183432","187435","183085","163714","174337","169374","176047","169817","202331","196709","202282","200052","193315","193321","170944","185842","191163","188166","202949","197094","215107","239015","248063","204452","247058","233038","209822","199861","164258","170376","139332","157521","171384","184490","171673","193046","202081","188499","207970","198393","200058","209128","212424","186735","228971","223000","214309","229767","205492","205900","218980","239418","241142","275016","240269","234708","262627","263710","280757","279952","281153","262541","244201","248412","254178","269123","233154","271122","278666","271774","294410","281291","293606","270615","253327","243289","241870","240724","258384","256089","281825","288076","315796","261537","294173","280401","273175","289564","269673","279977","251714","263139","280220","287367","278444","274039","282164","256460","255620","271369","241254","267811","253327","226769","258450","264338","246724","250407","256869","223636","231665","247887","234228","255953","236201","239859","274789","258742","266707","254910","241841","250855","234897","236475","244695","238178","224441","239020","263446","249500","258288","247284","242323","254516","269521","222371","261873","251473","254667","231446","287895","275817","287261","289296","295130","286576","252111","312692","272888","255861","259356","237116",
"종이,판지 및 펄프, 종이 또는 판지제품","수입액","천달러","49225","52144","61561","57393","58081","57349","57900","58369","57732","62251","57683","54922","48759","43106","54375","47277","56969","47439","48209","53900","53653","55760","60020","50580","64270","53461","62450","68973","76155","64131","69410","67924","63518","73384","71718","62745","80611","78901","88050","80020","79645","70949","72574","62609","74000","78082","65538","65547","77752","68233","85298","77960","75139","79646","77587","77758","69496","80134","77182","77415","74963","68346","88529","84616","84136","87357","85310","85391","89608","89612","97996","92749","81279","85632","100975","91012","97653","103639","94247","92489","100773","100159","104385","99102","104392","101054","112333","109835","107759","102732","113144","115672","95580","133283","130337","121461","138698","116304","135431","131916","123448","114885","135791","123047","122082","116631","88044","94636","83710","75191","93149","92764","86880","101560","106472","103398","118768","106526","120028","127151","117331","110590","127789","132645","135527","150423","142622","141756","135943","129490","137634","129714","128649","114109","153189","132295","143117","145409","141394","153131","144449","143716","139679","138955","140034","127564","143560","141698","139486","132950","152848","134055","139311","139940","146616","127238","141732","124241","141173","157042","152314","139879","156567","141101","144290","148371","145731","150324","136811","134042","150771","157577","158802","157554","170380","146035","157487","158909","155221","157820","153868","134735","156785","157623","147202","161207","155217","142570","142584","154009","161714","161791","154071","141604","170056","162327","164808","159789","163200","179334","165138","162011","178432","162250","154895","152524","181337","160207","171204","175910","171889","177200","189115","170551","189734","175713","197998","167489","190783","188713","198601","181130","185528","179012","162636","202865","190811","185204","215052","149430",
"달리 명시되지 않은 섬유사,직물,직물제품 및 관련제품","수출액","천달러","858851","875518","1158832","1135806","1212449","1186220","1105682","1027595","1036318","1084246","1031136","997760","727449","910348","1093538","1011159","1057687","994348","886059","859343","960292","780919","849022","810625","734775","682838","914324","983867","1057065","970058","987950","920823","878363","1005059","933101","877260","773285","733603","893930","958954","994631","937704","970178","821457","885486","999814","889215","920828","686513","803368","963737","1025400","972782","989646","965588","800444","903574","919836","882945","924912","733069","672629","932405","993285","958851","956027","919417","792571","889447","861275","830977","850800","673206","716490","902096","869596","914568","949891","873934","814750","941552","747436","855071","850916","769957","669911","904420","927517","960043","959278","914519","859684","759901","898673","925661","823831","780415","714805","893983","998222","974029","882642","1000083","829147","844271","954363","756265","742629","548462","595675","730388","877327","735961","797584","870706","674150","835381","795056","797175","897578","723971","694036","894945","1036650","921792","966202","1040764","805563","848913","1004510","971165","1059176","920550","822883","1123106","1192497","1088600","1111527","1072561","918583","1012106","1017399","1044675","1044303","812388","962110","1053527","1079737","1095005","1030490","1079904","952655","958832","948298","1054437","942410","945399","861194","988762","1111883","1163101","1002313","1065899","934827","854749","1082947","1039675","992243","926804","886374","998088","1148388","1083228","995049","1094254","862039","890258","1096353","925628","1001303","856912","709621","946614","1066462","902685","943252","1020589","725510","807557","909232","837547","918825","732313","701954","885914","917927","876710","876554","916890","728798","802862","816573","881844","900249","713316","745300","892842","871354","839302","890321","817929","766890","912282","653830","887228","864053","835647","700243","870753","873959","889225","876854","856164","747099","691797","821434","871059","779822","808597","674014",
"달리 명시되지 않은 섬유사,직물,직물제품 및 관련제품","수입액","천달러","283958","255146","315898","269441","278453","283504","290683","290874","268365","286399","276075","260093","241133","242021","271306","251321","254451","264778","275727","277924","249762","251372","245680","241583","254836","221745","259882","261376","274054","261913","312390","304832","269464","285461","267950","265055","256512","243431","269206","252295","254865","262988","292778","239580","246122","264967","253945","294701","269929","264407","300424","281270","272802","292287","310817","278360","249059","287616","288413","289557","274308","230739","300627","292621","309886","306058","303237","318741","298646","289875","314234","302023","282533","280681","331584","308096","332224","354765","343970","355808","345310","312183","335467","326008","329613","294728","328039","339609","349246","351906","379869","375271","307518","384639","361524","338906","365303","300516","362941","376910","367375","358202","416138","358135","350570","318782","268112","268767","219065","201856","254016","266067","265536","325014","330527","306327","337839","325331","342856","361825","330473","325936","401147","425472","411813","433933","440730","413946","377257","395469","425846","450914","492337","397719","573845","568059","544412","474053","469201","461290","419123","425918","436151","395624","379425","356716","420205","418046","444948","415777","443039","399942","377436","415309","421075","390051","428693","344527","424333","463283","470691","421771","487405","429326","411739","453102","441725","441035","419893","355090","444552","486667","454306","466239","495651","429769","451486","464525","434393","463954","419197","378830","417294","480000","421214","470485","465717","401458","403780","440880","436601","432256","381536","344633","430090","427093","453109","446642","427974","456002","411715","443091","457662","432549","400480","362228","469897","424496","452697","457539","432727","429674","434689","393247","458630","436458","457902","388271","455853","488120","523134","477098","485760","451276","416615","517614","477993","441956","497505","326955",
"달리 명시되지 않은  비금속 광물","수출액","천달러","63151","67603","84958","67635","78375","77119","76297","76210","78710","86154","88716","86513","69218","70494","81608","76814","79873","79555","74303","70539","79361","73600","72602","78125","66106","68484","73547","79721","81571","72543","69773","69839","64598","70340","67385","75453","74461","64637","77312","81474","65716","73343","80798","82216","92238","95853","84645","94499","87837","95774","105859","105257","98373","97648","97538","97670","89566","111553","107335","115006","95375","105971","112523","111500","106524","111490","114471","111796","127045","118112","126407","119017","100122","112098","118903","102514","124781","120607","125124","123483","137795","114383","122182","129003","110576","115407","135506","142267","138492","144436","138937","138298","107472","119381","128231","110989","121409","125410","124946","138784","139981","129692","162943","122932","129539","128510","95798","86530","69598","72738","81898","92974","85981","103482","113600","94384","120758","120289","129991","142671","113840","110170","126073","134936","132875","144930","159629","134782","116529","125521","135021","152964","152409","144783","175415","155517","150127","173860","166250","161461","168797","144081","139493","149410","124867","138915","163100","182238","185874","178170","200520","180471","206604","202981","198874","199758","197654","186812","194322","207284","216219","188114","199090","182038","195643","224756","204474","206254","184194","189150","209927","241341","212918","223835","234868","221078","250205","268372","242083","233388","228549","216666","252893","271423","239551","254778","252314","215098","229926","232509","223213","227341","207164","189382","234332","234476","244730","244255","238762","236235","244897","229909","240139","238704","212662","216564","252105","242474","236268","250719","240152","248475","276407","228088","261598","239843","268730","232236","277130","271378","272074","269204","275634","275384","240010","302743","291374","265750","286481","223674",
"달리 명시되지 않은  비금속 광물","수입액","천달러","109318","104414","123987","109523","118754","115316","112980","118073","109341","128267","127356","117876","107268","115287","124040","120118","122365","121224","135600","128750","135410","137661","152566","140900","147612","132066","165127","180964","176156","179945","184898","176399","162929","183360","177017","183849","174495","161632","199423","196418","188972","196226","201367","177551","192596","228145","211076","244232","199177","203738","245208","245289","230332","250255","226602","228376","224343","249325","271578","270604","257818","226446","276511","274318","300428","277422","272130","290484","282504","298380","308302","296676","262427","257753","322173","306883","336336","333595","321879","347762","363270","351277","380717","357375","356576","301338","345433","392291","403039","379736","404636","417806","363101","467446","442270","442964","439463","347283","449869","452558","442681","409203","459016","422212","444718","420933","355336","313766","274924","293657","306823","320494","315732","386764","399635","380574","424606","439278","453979","467506","390948","385107","470706","486937","466421","488510","488655","470197","439750","468426","539756","514885","464140","375967","523010","527025","567111","545596","538508","562065","551196","561832","541258","562446","512791","440891","518802","533466","551859","537979","555644","528062","512675","567181","566587","522716","521392","418010","506235","521153","500794","459067","505171","502467","460728","501016","443595","474230","441384","378529","473420","495169","465053","446050","499510","433425","454073","462596","419561","451090","426650","380273","397733","446598","406410","447898","461716","421088","432394","444034","413402","436744","375374","343772","435228","428625","437051","455953","430371","453072","412970","416954","446849","448328","408351","334874","466462","429464","452391","461478","436463","449066","444263","404568","466566","449628","444918","377272","408961","455087","494800","463637","471229","455984","411739","508517","472161","430820","491524","309708",
"철 및 강","수출액","천달러","533630","552954","596668","586621","645494","587755","543710","559349","517343","510689","523628","524473","506846","534754","546541","511791","535480","476364","459951","482655","462261","412257","449446","447443","409518","396606","442027","449059","459664","464544","499538","502009","478149","552260","499638","551130","554887","550665","621544","602455","604818","626626","647554","632879","682122","751337","721221","786478","789195","823260","916208","860934","907109","952406","1049074","1018681","982017","1069620","1070022","1193814","1259034","1112959","1340446","1165447","1262675","1186059","1130967","1143482","1173593","1188223","1158642","1224333","1147443","1105921","1215870","1146801","1226463","1330862","1294639","1367335","1494349","1414858","1544154","1534901","1598392","1463215","1584052","1619630","1661954","1610561","1591188","1520272","1423120","1556912","1556560","1616515","1647033","1646038","1861890","2158940","2269266","2234240","2715679","2429781","2389713","2297231","1673050","1714977","1299185","1295280","1367604","1372596","1362100","1385633","1513017","1430202","1565349","1548948","1582626","1745499","1577988","1530431","1859542","2009720","1991776","1998527","2087640","2019055","2126112","2374820","2246710","2610593","2507682","2087629","2547436","2458606","2601594","2723884","2719687","2730955","2915023","2777350","2845770","2877146","2536044","2682799","2570879","2649161","2700761","2594911","2536194","2394023","2430693","2418809","2316622","2406780","2332786","2174301","2254496","2181379","2328622","2151034","2174205","2066872","2007989","2340247","2292191","2360639","2206446","2259845","2405682","2536818","2406331","2415467","2530810","2372122","2501181","2503721","2350474","2503781","2257517","2059549","2192176","2051952","1889625","1970580","2004221","1766230","1790852","1769585","1692298","1877059","1601913","1640218","1711797","1682759","1721907","1720738","1815192","1900410","1839703","1817309","1892250","1957930","1983114","1985940","2158246","2206085","2222985","2265870","2234239","2248198","2343402","1957611","2168078","2209053","2345222","2283653","2381137","2457912","2487606","2293928","2517480","2477075","2266359","2279565","2195420","2078370","2381771","2218234",
"철 및 강","수입액","천달러","472447","422570","492764","471442","422839","457643","466654","445106","460671","453625","407673","342303","369655","317978","367061","358512","368868","363959","345008","372455","391679","398138","415262","351470","415671","366521","391347","434002","439720","466278","448269","521770","565953","499365","538651","445801","557328","495872","566453","573641","675113","641252","711607","698521","578115","683386","599964","573740","824708","710334","873589","1054406","1060032","1118764","1083350","880363","1032769","1103769","1138313","1300623","1280985","1231207","1579774","1433838","1476568","1532380","1175101","1036517","1102471","1014002","1101821","1068151","1024767","1090744","1191497","1118572","1338942","1484343","1312322","1497989","1592078","1396780","1417949","1424438","1504647","1428475","1814111","1876617","1994257","1849612","1768496","1755354","1594364","1948908","1908395","2003356","2294673","2212899","2555408","2858775","2951246","2947085","3658481","3505592","3628647","2810340","2238454","1893298","1794325","1380725","1562345","1325140","1100193","1160864","1248969","1308599","1662891","1696008","1520005","1670118","1610262","1510567","1952203","1904444","2008650","2088501","2054018","1814397","1935332","1892128","1959955","1996080","1908567","1856594","2542882","2508545","2427447","2494756","2311533","2093293","2110868","1884665","1913637","1707865","1799819","1923042","1983638","1927200","1986044","1878198","1790898","1649666","1784990","1640354","1536279","1440766","1629739","1455656","1830235","1707657","1680267","1474254","1676285","1518015","1466908","1552966","1635566","1568070","1886743","1668735","1838838","1982195","1759977","1816861","1843049","1651936","1843515","1713603","1653449","1551170","1598489","1306369","1500694","1434162","1207575","1314473","1341064","1279964","1182056","1257612","1062349","1083789","1073757","968695","1079773","1061200","1115626","1350425","1303791","1346072","1339888","1160672","1204605","1231000","1316627","1332549","1721494","1463193","1477928","1386969","1161081","1211778","1229601","1078619","1281301","1229147","1241949","1207453","1385740","1289305","1315241","1296241","1137545","1286093","1170427","1372773","1313929","1261740","1465027","1154385",
"비철금속","수출액","천달러","136898","155106","177766","163453","168357","162157","156511","158244","165100","167265","164753","160968","141801","160882","177998","156312","154796","143589","136739","123080","134524","130951","130905","136198","127872","129395","163984","170974","176446","164979","160186","174783","156539","168134","166728","179173","174497","182695","210847","199544","193828","195339","210201","184868","224678","249959","225985","224484","233994","269684","288889","301059","292368","335134","322580","339908","311510","337715","323289","339433","296687","275002","355404","346049","386869","363612","361959","347235","351671","370537","395603","400094","364389","429158","488002","540327","644160","699325","621695","618835","660911","616243","733253","688385","618658","569782","675094","646871","712691","660977","655463","695572","637919","764921","706757","630314","700136","638922","704118","767707","775518","713775","778591","685709","687677","645094","443930","383466","344948","358097","398255","492832","465434","496092","554087","497394","593824","568536","574804","650709","593209","707489","734580","733817","666696","673109","645087","604471","629427","766350","794741","813390","831043","754763","1007592","934011","974532","924447","964453","972878","961652","907249","830888","869296","733737","885683","868621","868882","944261","879097","889494","823354","842488","872640","908740","815321","860101","826377","801524","932073","927424","789230","877196","795372","742271","859675","792051","772882","901134","750277","777980","855323","737185","779666","884350","920262","927586","979554","921257","982005","741925","736524","926774","846319","799416","824394","850177","809884","748149","772753","741375","775519","681956","721256","785939","752235","786420","793503","766638","826343","804639","717143","819163","858897","704169","809842","870705","872400","891135","893157","805043","966126","963239","820575","1021841","968697","985649","884186","956614","1008472","1068085","967272","1095019","1024959","866184","1021033","990099","912582","889445","858618",
